id;name;benefit_rate;description
1;parse;PERCENTAGE;Tasty Rubber Car mindshare EXE
2;bandwidth Liaison;PERCENTAGE;infomediaries
3;Fantastic Fresh Salad;PERCENTAGE;exploit transition
4;User-centric Principal Pennsylvania;PERCENTAGE;mesh system Triple-buffered
5;Cotton;FIXED;Handmade Wooden Cheese Fresh
6;input Naira;FIXED;Glen Refined
7;Mandatory Assistant;FIXED;Incredible Fresh Car Tuvalu
8;Senior Optional Yemeni Rial;FIXED;magenta heuristic
9;Credit Card Account Maryland Legacy;FIXED;Brand Regional Court
10;B2B Mouse;FIXED;analyzing holistic
