id;name;broker_commission;description;risk_class_id
1;object-oriented;82261;bandwidth Trinidad and Tobago Dollar Licensed;7
2;Landing;58660;Bike;8
3;RSS sky blue Intelligent;2363;deposit;7
4;New Zealand;23194;benchmark;6
5;Avon;98778;Rubber;7
6;deploy content monitor;69243;Director;2
7;Generic array Virginia;27416;Gorgeous Generic Investor;2
8;framework Future-proofed;35499;Practical Granite Bacon Handcrafted Soft Car;3
9;Ethiopia HDD;65087;Denmark hub collaboration;7
10;Coordinator;66183;Wyoming system;5
